Ten,Mo ta ngan,Linh vuc nghien cuu quan tam,linkdin,Team
"Nguyen Tan Khanh,""Researcher at Dong A university, Vietnam and University of Zaragoza, Spain"",""Structural biology, and Computer-aid drug design"",https://www.linkedin.com/in/khanhnt2501/,AI in Bioinfomatics"
"Pham Thi Khanh Huyen,""Researcher at Dongguk  university, Korea"",""Structural biology, and Computer-aid drug design"",,AI in Bioinfomatics"
"Luong  Manh Tu,AI Engineer at Vinsmart Future,""Computer Vision, Generative AI, Computer-aid drug design"",https://www.linkedin.com/in/tu-luong-manh-89763322a/,AI in Bioinfomatics"
"Truong Xuan Thong,Computer Science Student,""Time Series, Large Language Models, Generative AI"",https://www.linkedin.com/in/th%C3%B4ng-tr%C6%B0%C6%A1ng-b343452a0/,AI in Time Series"
"Nguyen Khac Thai Binh,Viettel R&D researcher,""Time Series, Large Language Models, Generative AI"",https://www.linkedin.com/in/binh-nguyen-khac-thai-04a455331/,AI in Time Series"
"Le Trung Kien,Computer Science Student,""Spatio Temporal Forecasting, Large Language Models, Generative AI"",,AI in Time Series"
"Nguyen Thu,AI Researcher, Nvidia Instructor,""Generative AI, Large Language Model Application"",https://www.linkedin.com/in/nguyen-thu-471414160/,Leader"
"Nguyen Nhat Hai,PhD and Lecturer,""Generative AI, Large Language Model Application"",,Highest leader"
